id,sarcasm_label,certainty_1,certainty_2,speaker,gender,transcription
u1,0,,,戴为,male,我们这个策略成功到都已经违反自然规律了你知道在大自然绝大部分雄性动物都必须要靠把自己打扮得很好看来吸引雌性的
u2,1,3.0,t a v,刘振东,male,动机啊你远远就能听见他的声音在那儿当当当当当当当你往那一看那个三路车就在那抽搐啊然后你一上车就感觉车上所有的人都特别同意你的观点围着一圈人看着你你可以在这个车上谈成任何事是吧把你家房子送我
u3,0,,,刘振东,male,这么一个车拉着我们去学校念书啊当时在学校呢我的梦想就是变成那个英语课本里的孩子从小做梦都想变成那个英语课本里的孩子
u4,1,3.0,t a ,刘振东,male,为啥啊因为英语课本里的孩子的物质生活一直比语文课本里的好是吧你也不知道为啥李雷韩梅梅家里啥都有冰箱地毯沙发电视电灯电脑啥都有润土就一根叉子是吧
u5,0,,,刘振东,male,后来我就转学了转学去镇里念书也不是很适应最难学的是那个眼保健操
u6,1,3.0,t a v,刘振东,male,会啊你不知道每个章节是怎么过渡的第一张图是这样第二张图是这样对吧你你是你是直接来你还是你还是中间有个招是吧你你怎么能从这儿挪到这儿来了
u7,0,,,杨天真,female,确实你讲的时候勾起了一些我的童年回忆 就是我拍灯的那会儿 就是因为我小时候最讨厌做眼保健操 就特别想睁开眼睛 所以我觉得你描述的那个场景还是蛮有意思的
u8,1,3.0,t a v,刘振东,male,当时就明白那个武林秘籍为啥叫秘籍了对吧为啥有人练不出来了主角掉进山洞里周围全是壁画图片动作都很简单但就是学不会第一招是这样第二招是这样你咋过去的对吧你中间的过程呢有没有这种可能
u9,0,,,徐峥,male,我是最早摁的 因为第一个上台演出特别不容易 特别不容易 那个时候是需要有鼓励的
u10,1,3.0,t a ,詹鑫,male,我回家我爸看见我都是哎呦我刘波大少爷也回来了啊就感觉我不在家期间他也没少当老爷
u11,0,,,詹鑫,male,他们表演我的节目啊诶你上去给你舅演一个去说的话都一样但是我侄女儿跟我一样都是那种性格比较内向的孩子不去
u12,1,2.0,t a v,詹鑫,male,胸中澎湃但是囊中羞涩在外边喝酒的状态都是哥们啊今天这顿必须我请听见没有一回家媳妇儿啊哎呀今天那饭不我请的吗是上回人老刘请的我这回我心想我怎么的你干啥啊媳妇儿诶不是你别媳妇儿媳妇儿我爱你东北酒蒙子就是这样酗酒但是纯爱
u13,0,,,詹鑫,male,我见过喝得最多的一个酒蒙子最蒙的一个酒蒙子是有一天我在我家楼下的一个烧烤店啊一个大哥光着膀子出来边下台阶边穿他那个衬衫
u14,1,3.0,t a ,戴为,male,在我老家广东佛山只要我出门不穿拖鞋我爸就问我是不是要去喝喜酒
u15,0,,,吴镇宇,male,诶有时候你养个宠物做完什么手术之后就像他讲的其实没注意到他用另外一个神奇的角度去切入我觉得会对很难找到比喻的翻领跟宠物
u16,1,3.0,t a ,戴为,male,男生确实很懒得去买衣服啊就是现在商家为了推销男装他们已经疯了你想想看我们全中国最有名最成功的一句男装广告语居然是一年逛两次某澜之家他最大的卖点都不是好看是你可以少来
u17,0,,,戴为,male,其实很多是我自己对于时尚这方面的一些额非常个人的偏见和暴论就分享出来看大家有没有共鸣这样子
u18,1,3.0,t a v,戴为,male,就因为男生被人夸衣品好好像就是个不是很重要的事情啊确实如果观众评价我说啊虽然这个戴为一点都不好笑但是他把衬衫的一边塞到裤子里这个小细节哇真的太时尚了
u19,0,,,戴为,male,而且这种穿法到底想表达什么意思啊上厕所结束的太匆忙我还有一些朋友他们不注意穿搭是因为对自己有一点盲目自信
u20,1,3.0,t a v,戴为,male,那还得了而这种人一旦打扮起来非常浮夸穿个Polo衫会把衣领竖起来那种我真的太讨厌别人把衣领竖起来了太嚣张了以为自己很帅气其实性缩力拉满因为小猫小狗刚刚做完绝育也是这个样子的
u21,0,,,戴为,male,赶紧弄下来我还很看不惯有的男生他们不管在任何场合任何搭配都会穿那种很夸张的篮球鞋
u22,1,3.0,t a ,戴为,male,球鞋我见过有新郎结婚的时候西装配篮球鞋是不是有点过于随时准备弹跳了你是要自己亲手去抢那个手捧花是吗那真是盖了帽了
u23,0,,,戴为,male,确实男生在穿搭上的消费很多时候就集中在球鞋或者手表手串这种东西上面
u24,1,3.0,t a ,戴为,male,只打扮四肢末端那头跟躯干直接放弃这就相当于你家装修只装飘窗你让客人怎么说虽然你这个三室一厅是个毛坯但你这个欧式古典宫廷巴洛克风格的飘窗啊还挺有氛围感的
u25,0,,,徐峥,male,是是这是有对生活的观察然后完全是从生活当中来的那个感觉跟观众的连接感很强
u26,1,3.0,t a v,戴为,male,你看现在大家对于男生外形的要求真的好低一般就说干净清爽就好这是对一包湿纸巾的要求
u27,0,,,哈姆扎,male,我真的完了不过相信自己吧就我相信自己是可以的
u28,1,3.0,t a,哈姆扎,male,大家也听得出来我中文也凑合吧因为从小在中国长大我爸是从也门来的我妈也是从也门来的这么算的话我是堂堂正正的纯也门我从小在浙江义乌长大的我算是义务为数不多的进口货吧
u29,0,,,哈姆扎,male,我出道的时候你们知道有多Amazing吗我拍了第一部戏十五岁的时候拍了一部戏叫天将雄狮当时是跟成龙老师演的成龙哎JackieChan
u30,1,3.0,t a,哈姆扎,male,第一部戏就跟成龙演下部戏得跟谁演呢我现在天天想的就是下部戏得跟谁演呢
u31,0,,,哈姆扎,male,我现在主要是跑龙套呗有人可能认出来了电影爱情神话的亚历山大就是我
u32,1,2.0,t a,哈姆扎,male,我是社会了一点就是想抓住每一个演戏的机会但我这个外表能演得戏不多尤其这几年古装戏一多我算是息影了诶古装戏导演们你们可以打开一下思路外国也可以有武林高手啊阁下是哪一门高手唐门形意门也门纯也门
u33,0,,,杨天真,female,我觉得你非常可爱而且长得也很帅在舞台上很松弛然后你的表演在这个单口喜剧里面我觉得是比较好的运用了就是和你的人讲你自己的故事的时候是很轻松地就把我们带进去了
u34,1,3.0,t a v,哈姆扎,male,戏的角色也很受限因为肯定是去演外国大力士不用去就知道对面不是叶问就是霍元甲我都不用看剧本流程咱都熟过去先放狠话大拇指往下一竖等死就完了最后趴这地上ChineseKungfu
u35,0,,,黑灯,male,目标啊 目标也是最近才明确的 就是尽可能往前多走一点 先不想那么多
u36,1,3.0,t a,黑灯,male,是一个盲人啊你们能理解这种状态吗盲人能看到一点点是个什么状态就是出门问题不是太大但是能办到残疾症就瞎得刚刚好理解吧
u37,0,,,黑灯,male,然后其实是小时候是可以的到大学毕业那一年视力从0.6掉到0.2就一年时间欻那么一下就掉下来了
u38,1,1.0,t a,黑灯,male,隔了半年去广州发现那个广州塔看不到你站在这个珠江斜对面人一下就崩溃了说怎么广州塔看不到旁边一个大爷说今天没开灯
u39,0,,,黑灯,male,到0.2之后呢降得就很慢了今天跟昨天没有区别跟一个月前可能也没有区别但你知道它在下降因为每隔一段时间就会有个东西看不到了
u40,1,3.0,t a,黑灯,male,你不知道什么东西出来弄一下你就崩溃了你以为越过这个山丘就好了不会的越过山丘还是山丘一丘接一丘人生短短到底几个丘
u41,0,,,黑灯,male,然后慢慢摸索之后呢时间长了之后也学会坐高铁了现在很优雅我都不排队跟在最后进去之后手机掏出来照着行李架的方向大概拍一张然后放大了看
u42,1,3.0,t a,黑灯,male,从这个情绪里面走出来之后你才发现那些没有杀死你的真的会让你歇两天再来杀你一上高铁发现座位号看不见了就那个数字看不清了脑子一片空白不知道怎么办了就在那想今天演个啥呢演一个无座
u43,0,,,黑灯,male,站在两个车厢连接处心想是赶紧到站吧我不想坐了赶紧让我走越想走越走不掉因为都是空座你站那儿就已经很可疑了路过一个列车员就要查我的票路过卖盒饭都要查我的票
u44,1,3.0,t a v,黑灯,male,因为都是空座你站那儿就已经很可疑了路过一个列车员就要查我的票路过卖盒饭的都要查我的票我把票给他一看他说你还有两个多小时呢你站着干啥我说要你管老子抽根烟他说五百到两千
u45,0,,,徐峥,male,我觉得就是文本很成熟表演很成熟节奏把控就是尽在那个拿捏然后我觉得像你这个段子应该已经演了很多很多场了但是我觉得表演仍然可以保持新鲜感
u46,1,3.0,t a,黑灯,male,就靠那门边站着你跟他说就好了你说不好意思我看不太清楚帮我按下六楼谢谢到后来看不清楚我都不说了我说六楼因为大多数人啊听你说看不清楚他第一个反应说那墨镜倒是摘了呀
